,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
459,Atmospheric and Oceanic Science Letters,, 2376-6123,, 1674-2834,2.3
460,Atmospheric Pollution Research,, 1309-1042,,,4.5
461,Atmospheric Research,, 1873-2895, 0169-8095,,5.5
462,Atmospheric Science Letters, 1530-261X,,,,
463,Atomic Data and Nuclear Data Tables,, 1090-2090, 0092-640X,,1.8
464,Aula Abierta, 0210-2773,,,,
465,Auris Nasus Larynx,, 1879-1476, 0385-8146,,1.7
466,Australasian Emergency Care,, 2588-994X, 2589-1375,,1.8
467,Australasian Emergency Nursing Journal,, 2588-994X, 2589-1375, 1574-6267,
468,The AustralAsian Journal of Cardiac and Thoracic Surgery, 1037-2091,,,,
469,Australasian Marketing Journal (AMJ), 1441-3582,,,,
470,Australian College of Midwives Incorporated Journal, 1031-170X,,,,
471,Australian Critical Care,, 1878-1721, 1036-7314,,3.3
472,Australian Emergency Nursing Journal, 1328-2743,,,,
473,Australian Infection Control, 1329-9360,,,,
474,The Australian Journal of Midwifery, 1445-4386,,,,
475,Australian Journal of Physiotherapy, 0004-9514,,,,
476,Australian Midwifery, 1448-8272,,,,
477,Australian and New Zealand Journal of Public Health, 1326-0200,,,,
478,Autoimmunity Reviews,, 1873-0183, 1568-9972,,13.6
479,Automatica,, 1873-2836, 0005-1098,,6.4
480,Automation in Construction,, 1872-7891, 0926-5805,,10.3
481,Autonomic Neuroscience,, 1872-7484, 1566-0702,,2.7
482,Avances en Diabetología, 1134-3230,,,,
483,Avian Research, 2053-7166,,,,1.8
484,AWHONN Lifelines, 1091-5923,,,,
485,Baillière's Clinical Anaesthesiology, 0950-3501,,,,
486,Baillière's Clinical Endocrinology and Metabolism, 0950-351X,,,,
487,Baillière's Clinical Gastroenterology, 0950-3528,,,,
488,Baillière's Clinical Haematology, 0950-3536,,,,
489,Baillière's Clinical Obstetrics and Gynaecology, 0950-3552,,,,
490,Baillière's Clinical Rheumatology, 0950-3579,,,,
491,Basal Ganglia, 2210-5336,,,,
492,Basic and Applied Ecology,, 1618-0089, 1439-1791,,3.8
493,BBA Advances,, 2667-1603,,,
494,BBA Clinical, 2214-6474,,,,
495,Behavior Therapy,, 1878-1888, 0005-7894,,3.7
496,Behavioral Biology, 0091-6773,,,,
497,Behavioral and Neural Biology, 0163-1047,,,,
498,Behaviour Research and Therapy,, 1873-622X, 0005-7967,,4.1
499,Behavioural Brain Research,, 1872-7549, 0166-4328,,2.7
500,Behavioural Processes,, 1872-8308,, 0376-6357,1.3
501,Beiträge zur Pathologie, 0005-8165,,,,
502,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations", 2772-4859,,,,
503,Beni-Suef University Journal of Basic and Applied Sciences, 2314-8535,,,,
504,Best Practice & Research Clinical Anaesthesiology,, 1532-169X, 1521-6896,,4.8
505,Best Practice & Research Clinical Endocrinology & Metabolism,, 1532-1908, 1521-690X,,7.4
506,Best Practice & Research Clinical Gastroenterology,, 1532-1916, 1521-6918,,3.2
507,Best Practice & Research Clinical Haematology,, 1532-1924, 1521-6926,,2.1
508,Best Practice & Research Clinical Obstetrics & Gynaecology,, 1532-1932, 1521-6934,,5.5
509,Best Practice & Research Clinical Rheumatology,, 1532-1770, 1521-6942,,5.2
510,Big Data Research,, 2214-580X, 2214-5796,,3.3
511,"Bijdragen tot de taal-, land- en volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia", 0006-2294,,,,
512,Bioactive Carbohydrates and Dietary Fibre,, 2212-6198,,,
513,Bioactive Materials,, 2452-199X,,,18.9
514,Biobehavioral Reviews, 0147-7552,,,,
515,Biocatalysis and Agricultural Biotechnology,, 1878-8181,,,4
516,Biochemical and Biophysical Research Communications,, 1090-2104, 0006-291X,,3.1
517,Biochemical Education, 0307-4412,,,,
518,Biochemical Engineering Journal,, 1873-295X, 1369-703X,,3.9
519,Biochemical Medicine, 0006-2944,,,,
520,Biochemical Medicine and Metabolic Biology, 0885-4505,,,,
521,Biochemical and Molecular Medicine, 1077-3150,,,,
522,Biochemical Pharmacology,, 1873-2968, 0006-2952,,5.8
523,Biochemical Systematics and Ecology,, 1873-2925, 0305-1978,,1.6
524,Biochemie und Physiologie der Pflanzen, 0015-3796,,,,
525,Biochemistry and Biophysics Reports,, 2405-5808,,,2.7
526,Biochemistry and Molecular Biology Education, 1470-8175,,,,
527,Biochimica et Biophysica Acta, 0006-3002,,,,
528,Biochimica et Biophysica Acta (BBA) - Bioenergetics,, 1879-2650, 0005-2728,,4.3
529,Biochimica et Biophysica Acta (BBA) - Biomembranes,, 1879-2642, 0005-2736,,3.4
530,Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis, 0926-6585,,,,
531,Biochimica et Biophysica Acta (BBA) - Enzymology, 0005-2744,,,,
532,Biochimica et Biophysica Acta (BBA) - Enzymology and Biological Oxidation, 0926-6593,,,,
533,Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,, 1876-4320, 1874-9399,,4.7
534,Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression, 0167-4781,,,,
535,Biochimica et Biophysica Acta (BBA) - General Subjects,, 1872-8006, 0304-4165,,3
536,Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism, 0005-2760,,,,
537,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,, 1879-260X, 0925-4439,,6.2
538,Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,, 1879-2618, 1388-1981,,4.8
539,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,, 1879-2596, 0167-4889,,5.1
540,Biochimica et Biophysica Acta (BBA) - Mucoproteins and Mucopolysaccharides, 0926-6534,,,,
541,Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis, 0005-2787,,,,
542,Biochimica et Biophysica Acta (BBA) - Protein Structure, 0005-2795,,,,
543,Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology, 0167-4838,,,,
544,Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,, 1878-1454, 1570-9639,,3.2
545,Biochimica et Biophysica Acta (BBA) - Reviews on Bioenergetics, 0304-4173,,,,
546,Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes, 0304-4157,,,,
547,Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,, 1879-2561, 0304-419X,,11.2
548,Biochimica et Biophysica Acta (BBA) - Specialized Section on Biophysical Subjects, 0926-6577,,,,
549,Biochimica et Biophysica Acta (BBA) - Specialized Section on Enzymological Subjects, 0926-6569,,,,
550,Biochimica et Biophysica Acta (BBA) - Specialized Section on Lipids and Related Subjects, 0926-6542,,,,
551,Biochimica et Biophysica Acta (BBA) - Specialized Section on Mucoproteins and Mucopolysaccharides, 0926-6526,,,,
552,Biochimica et Biophysica Acta (BBA) - Specialized Section on Nucleic Acids and Related Subjects, 0926-6550,,,,
553,Biochimie,, 1638-6183, 0300-9084,,3.9
554,Biochimie Open, 2214-0085,,,,
555,Bioconjugate Chemistry, 1043-1802,,,,
556,Biocybernetics and Biomedical Engineering,, 2391-467X, 0208-5216,,6.4
557,Bioelectrochemistry,, 1878-562X, 1567-5394,,5
558,Bioelectrochemistry and Bioenergetics, 0302-4598,,,,
559,Bioethics Update, 2395-938X,,,,
560,Biofilm,, 2590-2075,,,6.8
561,Biofutur, 0294-3506,,,,
562,Biogeotechnics, 2949-9291,,,,
563,Bioinorganic Chemistry, 0006-3061,,,,
564,Biological Conservation,, 1873-2917, 0006-3207,,5.9
565,Biological Control,, 1090-2112, 1049-9644,,4.2
566,Biological Journal of the Linnean Society, 0024-4066,,,,
567,Biological Psychiatry,, 1873-2402, 0006-3223,,10.6
568,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,, 2451-9030, 2451-9022,,5.9
569,Biological Psychiatry Global Open Science,, 2667-1743,,,
570,Biological Psychology,, 1873-6246,, 0301-0511,2.6
571,Biological Wastes, 0269-7483,,,,
572,Biologically Inspired Cognitive Architectures, 2212-683X,,,,
573,Biologicals,, 1095-8320, 1045-1056,,1.7
574,Biology of Blood and Marrow Transplantation, 1083-8791,,,,
575,Biology of the Cell, 0248-4900,,,,
576,Biomacromolecules, 1525-7797,,,,
577,Biomarkers and Genomic Medicine, 2214-0247,,,,
578,Biomarkers in Neuropsychiatry,, 2666-1446,,,
579,Biomass, 0144-4565,,,,
580,Biomass and Bioenergy,, 1873-2909, 0961-9534,,6
581,Biomaterials,, 1878-5905, 0142-9612,,14
582,Biomaterials Advances,, 2772-9508, 2772-9516,,
583,Biomaterials and Biosystems,, 2666-5344,,,
584,Biomedical Engineering Advances,, 2667-0992,,,
585,Biomedical and Environmental Sciences,, 2214-0190, 0895-3988,,3.5
586,Biomedical Journal,, 2320-2890, 2319-4170,,5.5
587,Biomedical Signal Processing and Control,, 1746-8108, 1746-8094,,5.1
588,Biomedical Technology, 2949-723X,,,,
589,BioMedicine, 2211-8020,,,,
590,Biomedicine & Aging Pathology, 2210-5220,,,,
591,Biomedicine & Pharmacotherapy,, 1950-6007, 0753-3322,,7.5
592,Biomedicine & Preventive Nutrition, 2210-5239,,,,
593,Biometric Technology Today, 0969-4765,,,,
594,Biomimetic Intelligence and Robotics,, 2667-3797,,,
595,Biomolecular Detection and Quantification, 2214-7535,,,,
596,Biomolecular Engineering, 1389-0344,,,,
597,Bioorganic Chemistry,, 1090-2120, 0045-2068,,5.1
598,Bioorganic & Medicinal Chemistry,, 1464-3391, 0968-0896,,3.5
599,Bioorganic & Medicinal Chemistry Letters,, 1464-3405, 0960-894X,,2.7
600,Biophysical Chemistry,, 1873-4200, 0301-4622,,3.8
601,Biophysical Journal,, 1542-0086, 0006-3495,,
602,Biophysical Reports, 2667-0747,,,,
603,Bioprinting,, 2405-8866,,,
604,Bioresource Technology,, 1873-2976, 0960-8524,,11.4
605,Bioresource Technology Reports,, 2589-014X,,,11.4
606,Biorheology, 0006-355X,,,,
607,Biosafety and Health,, 2590-0536,,,
608,Bioscience Hypotheses, 1756-2392,,,,
609,Biosensors, 0265-928X,,,,
610,Biosensors and Bioelectronics,, 1873-4235, 0956-5663,,12.6
611,Biosensors and Bioelectronics: X,, 2590-1370,,,12.6
612,BIOSILICO, 1478-5382,,,,
613,Biosurface and Biotribology, 2405-4518,,,,
614,Biosystems,, 1872-8324, 0303-2647,,1.6
615,Biosystems Engineering,, 1537-5129, 1537-5110,,5.1
616,Biotechnology Advances,, 1873-1899, 0734-9750,,16
617,Biotechnology Notes,, 2665-9069,,,
618,Biotechnology Reports,, 2215-017X,,,
619,Biotechnology Research and Innovation, 2452-0721,,,,
620,Biotribology,, 2352-5738,,,
621,BJA CEPD Reviews, 1472-2615,,,,
622,BJA Education,, 2058-5357, 2058-5349,,1.6
623,BJA Open, 2772-6096,,,,
624,BJOG: An International Journal of Obstetrics and Gynaecology, 1470-0328,,,,
625,Blockchain: Research and Applications,, 2666-9536,, 2096-7209,
626,Blood,, 1528-0020, 0006-4971,,20.3
627,Blood Advances,, 2473-9537,, 2473-9529,7.5
628,"Blood Cells, Molecules, and Diseases",, 1096-0961, 1079-9796,,2.3
629,Blood Neoplasia, 2950-3280,,,,
630,Blood Reviews,, 1532-1681, 0268-960X,,7.4
631,"Blood Vessels, Thrombosis & Hemostasis", 2950-3272,,,,
632,Body Image,, 1873-6807, 1740-1445,,5.2
633,Boletín de AELFA, 1137-8174,,,,
634,Boletín Médico del Hospital Infantil de México, 1665-1146,,,,
635,Boletín Médico Del Hospital Infantil de México (English Edition), 2444-3409,,,,
636,Boletín Mexicano de Derecho Comparado, 0041-8633,,,,
637,Boletín de la Sociedad Española de Cerámica y Vidrio,, 2173-0431, 0366-3175,,3.4
638,Bone,, 1873-2763, 8756-3282,,4.1
639,Bone and Mineral, 0169-6009,,,,
640,Bone Reports,, 2352-1872,,,2.5
641,Borsa Istanbul Review,, 2214-8469, 2214-8450,,5.2
642,Botanical Journal of the Linnean Society, 0024-4074,,,,
643,Brachytherapy,, 1873-1449, 1538-4721,,1.9
644,"Brain, Behavior, and Immunity",, 1090-2139, 0889-1591,,15.1
645,"Brain, Behavior, & Immunity - Health",, 2666-3546,,,15.1
646,Brain Behavior and Immunity Integrative, 2949-8341,,,,15.1
647,Brain and Cognition,, 1090-2147, 0278-2626,,2.5
648,Brain and Development,, 1872-7131, 0387-7604,,1.7
649,Brain and Development Case Reports, 2950-2217,,,,1.7
650,Brain Disorders,, 2666-4593,,,
651,Brain Hemorrhages,, 2589-238X,,,
652,Brain and Language,, 1090-2155, 0093-934X,,2.5
653,Brain Multiphysics, 2666-5220,,,,
654,Brain Organoid and Systems Neuroscience Journal, 2949-9216,,,,
655,Brain Research,, 1872-6240, 0006-8993,,2.9
656,Brain Research Bulletin,, 1873-2747,, 0361-9230,3.8
657,Brain Research Protocols, 1385-299X,,,,
658,Brain Research Reviews, 0165-0173,,,,
659,Brain and Spine, 2772-5294,,,,
660,Brain Stimulation,, 1876-4754, 1935-861X,,7.7
661,Brazilian Journal of Anesthesiology, 0034-7094,,,,
662,Brazilian Journal of Anesthesiology (Edicion en Espanol), 2255-4963,,,,
663,Brazilian Journal of Anesthesiology (English Edition),, 2352-2291, 0104-0014,,1.3
664,The Brazilian Journal of Infectious Diseases,, 1678-4391, 1413-8670,,3.4
665,Brazilian Journal of Microbiology, 1517-8382,,,,
666,Brazilian Journal of Otorhinolaryngology,, 1808-8686, 1808-8694,,2.2
667,Brazilian Journal of Physical Therapy,, 1809-9246, 1413-3555,,3.4
668,The Breast,, 1532-3080, 0960-9776,,3.9
669,Breast Diseases: A Year Book Quarterly, 1043-321X,,,,
670,The British Accounting Review,, 1095-8347, 0890-8389,,5.1
671,British Homoeopathic Journal, 0007-0785,,,,
672,British Journal of Anaesthesia,, 1471-6771, 0007-0912,,9.8
673,The British Journal of Animal Behaviour, 0950-5601,,,,
674,The British Journal of Chiropractic, 1466-2108,,,,
675,British Journal of Diseases of the Chest, 0007-0971,,,,
676,British Journal of Medical and Surgical Urology, 1875-9742,,,,
677,British Journal of Obstetrics and Gynaecology, 0306-5456,,,,
678,British Journal of Oral and Maxillofacial Surgery,, 1532-1940, 0266-4356,,1.8
679,British Journal of Oral Surgery, 0007-117X,,,,
680,British Journal of Plastic Surgery, 0007-1226,,,,
681,British Journal of Tuberculosis, 0366-0850,,,,
682,British Journal of Tuberculosis and Diseases of the Chest, 0366-0869,,,,
683,British Veterinary Journal, 0007-1935,,,,
684,BRQ Business Research Quarterly, 2340-9436,,,,
685,Building and Environment,, 1873-684X, 0360-1323,,7.4
686,Building Science, 0007-3628,,,,
687,Bulletin de l'Académie Nationale de Médecine,, 2271-4820, 0001-4079,,0.3
688,Bulletin of Anesthesia History, 1522-8649,,,,
689,Bulletin of the British Mycological Society, 0007-1528,,,,
690,Bulletin du Cancer,, 1769-6917, 0007-4551,,1.2
691,Bulletin du Cancer/Radiothérapie, 0924-4212,,,,
692,"Bulletin of Faculty of Pharmacy, Cairo University", 1110-0931,,,,
693,Bulletin de l'Institut Pasteur, 0020-2452,,,,
694,Bulletin of Latin American Research, 0261-3050,,,,
695,Bulletin of Mathematical Biology, 0092-8240,,,,
696,Bulletin des Sciences Mathématiques,, 1952-4773, 0007-4497,,1.3
697,Burnout Research, 2213-0586,,,,
698,Burns,, 1879-1409, 0305-4179,,2.7
699,Burns Open,, 2468-9122,,,2.7
700,Business Horizons,, 1873-6068, 0007-6813,,7.4
701,CAAI Transactions on Intelligence Technology, 2468-2322,,,,
702,Cahiers de Nutrition et de Diététique,, 2352-4960, 0007-9960,,0.3
703,Calphad,, 1873-2984, 0364-5916,,2.4
704,Canadian Association of Radiologists Journal, 0846-5371,,,,
705,Canadian Institute of Food Science and Technology Journal, 0315-5463,,,,
706,Canadian Institute of Food Technology Journal, 0008-3860,,,,
707,Canadian Journal of Cardiology,, 1916-7075, 0828-282X,,6.2
708,Canadian Journal of Diabetes,, 2352-3840, 1499-2671,,2.5
709,Canadian Journal of Medical Radiation Technology, 0820-5930,,,,
710,Canadian Journal of Ophthalmology,, 1715-3360, 0008-4182,,4.2
711,Canadian Metallurgical Quarterly, 0008-4433,,,,
712,Cancer Cell,, 1878-3686, 1535-6108,,
713,Cancer Detection and Prevention,, 1877-783X, 1877-7821, 0361-090X,
714,Cancer Epidemiology,, 1877-783X, 1877-7821,,2.6
715,Cancer Genetics,, 1873-4456, 2210-7762,,1.9
716,Cancer Genetics and Cytogenetics, 0165-4608,,,,
717,Cancer Letters,, 1872-7980, 0304-3835,,9.7
718,Cancer Pathogenesis and Therapy, 2949-7132,,,,
719,Cancer/Radiothérapie,, 1769-6658, 1278-3218,,1.3
720,Cancer Treatment Communications, 2213-0896,,,,
721,Cancer Treatment and Research Communications,, 2468-2942,,,
722,Cancer Treatment Reviews,, 1532-1967, 0305-7372,,11.8
723,Carbohydrate Polymer Technologies and Applications,, 2666-8939,,,5.5
724,Carbohydrate Polymers,, 1879-1344, 0144-8617,,11.2
725,Carbohydrate Research,, 1873-426X, 0008-6215,,3.1
726,Carbon,, 1873-3891, 0008-6223,,10.9
727,Carbon Capture Science & Technology, 2772-6568,,,,
728,Carbon Resources Conversion,, 2588-9133,,,6
729,Carbon Trends,, 2667-0569,,,10.9
730,Card Technology Today, 0965-2590,,,,
731,Cardiac Electrophysiology Clinics,, 1877-9190, 1877-9182,,
732,Cardiocore, 1889-898X,,,,
733,Cardiology Clinics,, 1558-2264, 0733-8651,,2.4
734,Cardiovascular Digital Health Journal,, 2666-6936,,,
735,Cardiovascular Pathology,, 1879-1336, 1054-8807,,3.7
736,Cardiovascular Radiation Medicine, 1522-1865,,,,
737,Cardiovascular Revascularization Medicine,, 1878-0938, 1553-8389,,1.7
738,Cardiovascular Revascularization Medicine: Interesting Cases, 2950-2756,,,,1.7
739,Cardiovascular Surgery, 0967-2109,,,,
740,Carnegie-Rochester Conference Series on Public Policy, 0167-2231,,,,
741,CASE,, 2468-6441,,,6.5
742,The Case Manager, 1061-9259,,,,
743,Case Reports in Women's Health,, 2214-9112,,,
744,Case Studies in Chemical and Environmental Engineering,, 2666-0164,,,
745,Case Studies in Construction Materials,, 2214-5095,,,6.2
746,Case Studies in Engineering Failure Analysis, 2213-2902,,,,
747,Case Studies in Fire Safety, 2214-398X,,,,
748,Case Studies in Mechanical Systems and Signal Processing, 2351-9886,,,,
749,Case Studies in Nondestructive Testing and Evaluation, 2214-6571,,,,
750,Case Studies in Structural Engineering, 2214-3998,,,,
751,Case Studies in Thermal Engineering,, 2214-157X,,,6.8
752,Case Studies on Transport Policy,, 2213-6258, 2213-624X,,2.5
753,Catalysis Communications,, 1873-3905, 1566-7367,,3.7
754,Catalysis Science & Technology, 2044-4753,,,,
755,Catalysis Today,, 1873-4308, 0920-5861,,5.3
756,CATENA,, 1872-6887, 0341-8162,,6.2
757,Cell,, 1097-4172, 0092-8674,,
758,Cell Biology International, 1065-6995,,,,
759,Cell Biology International Reports, 0309-1651,,,,
760,Cell Calcium,, 1532-1991, 0143-4160,,4
761,Cell Chemical Biology,, 2451-9448, 2451-9456,,8.6
762,Cell Differentiation, 0045-6039,,,,
763,Cell Differentiation and Development, 0922-3371,,,,
764,Cell Ecosystem, 2949-9461,,,,
765,Cell Genomics,, 2666-979X,,,
766,Cell Host & Microbe,, 1934-6069, 1931-3128,,
767,Cell Insight, 2772-8927,,,,
768,Cell Metabolism,, 1932-7420, 1550-4131,,
769,Cell Regeneration, 2045-9769,,,,
770,Cell Reports,, 2211-1247, 2639-1856,,8.8
771,Cell Reports Medicine,, 2666-3791,,,14.3
772,Cell Reports Methods, 2667-2375,,,,3.8
773,Cell Reports Physical Science,, 2666-3864,,,8.9
774,Cell Stem Cell,, 1875-9777, 1934-5909,,23.9
775,Cell Stress and Chaperones, 1355-8145,,,,
776,The Cell Surface,, 2468-2330,,,
777,Cell Systems,, 2405-4720, 2405-4712,,9.3
778,Cell Transplantation, 0963-6897,,,,
779,Cells & Development,, 2667-2901, 2667-291X,,3.9
780,Cellular Immunology,, 1090-2163, 0008-8749,,4.3
781,Cellular and Molecular Gastroenterology and Hepatology,, 2352-345X,,,7.2
782,Cellular Signalling,, 1873-3913, 0898-6568,,4.8
783,CEMENT,, 2666-5492,,,11.4
784,Cement and Concrete Composites,, 1873-393X, 0958-9465,,10.5
785,Cement and Concrete Research,, 1873-3948, 0008-8846,,11.4
786,Central Bank Review,, 2524-1699, 1303-0701,,2.8
787,Ceramics International,, 1873-3956, 0272-8842,,5.2
788,Ceramurgia International, 0390-5519,,,,
789,Cerebral Circulation - Cognition and Behavior,, 2666-2450,,,
790,Cerevisia, 1373-7163,,,,
791,"Chaos, Solitons & Fractals",, 1873-2887, 0960-0779,,7.8
792,"Chaos, Solitons & Fractals: X",, 2590-0544,,,7.8
793,Chem,, 2451-9294, 2451-9308,,
794,Chem Catalysis, 2667-1093,,,,9.4
795,Chemical Communications, 1359-7345,,,,
796,Chemical Data Collections,, 2405-8300,,,
797,Chemical Engineering Journal Advances,, 2666-8211,,,
798,The Chemical Engineering Journal and the Biochemical Engineering Journal, 0923-0467,,,,
799,Chemical Engineering Journal,, 1873-3212, 1385-8947,,15.1
800,The Chemical Engineering Journal, 0300-9467,,,,
